baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,gene
0.01497995176841505,0.3166382777209969,3.909854466978703,0.0809846710140277,0.9354541432176535,,A1BG
1.9898443293305945,-0.09902269948375396,0.6527982704901691,-0.15168958614029476,0.8794317711771819,,A1CF
4.580215441613538,0.03076361734484275,0.45694381833740666,0.06732472595159815,0.9463231930792368,,A2M
5.094701445936387,0.27958667189299347,0.39125406844515714,0.7145910916762357,0.4748617509308138,,A2ML1
1.911705023700294,1.196432974001313,0.5663157102217319,2.112660751602439,0.03462981487913222,,A3GALT2
1.0196900617365434,-1.4522773154490152,0.8495255379201438,-1.709515783368399,0.08735545062529886,,A4GALT
0.221521075970856,-0.2722062086216237,3.5998761077414154,-0.07561543799695028,0.9397250538836138,,A4GNT
132.7335687565341,-0.08326030070856437,0.08904555648469781,-0.9350303821490787,0.34977264212775505,0.6484086848403587,AAAS
95.92505248233434,0.18670998851471463,0.12044446079814299,1.550174970915668,0.12109952552912066,0.3867371944317079,AACS
0.06221002770315017,-0.1485496968122833,3.909854466978703,-0.03799366397570124,0.9696927337973998,,AADAC
0.0,,,,,,AADACL2
0.0,,,,,,AADACL3
0.021987404676919453,-0.030780778605819424,3.909854466978703,-0.00787261491847929,0.9937186269880243,,AADACL4
0.5685954048201599,-0.7576469646150964,1.32275811336051,-0.5727781647774359,0.5667949052168073,,AADAT
154.45871262002606,-0.19202052320522664,0.09618252833566437,-1.996417920467845,0.04588845179945002,0.23867352366099218,AAED1
319.1294145557192,0.16424319765567205,0.062369158908247256,2.6334040819324516,0.008453370884642167,0.09442178877223743,AAGAB
712.945578134506,-0.01899520764891574,0.10359634377048786,-0.1833578962110729,0.854517209705294,0.9467139613448586,AAK1
36.27068460467836,-0.17704686207876455,0.12122951820400064,-1.4604270040967786,0.14417275565830553,0.42074906243138144,AAMDC
474.14700684899015,0.11114885226214151,0.11312542871049612,0.982527567224404,0.32584000877907593,0.6291787853340658,AAMP
6.741264190893318,-0.055149812143039566,0.3272425432965276,-0.16852885809858198,0.8661672428569843,,AANAT
310.24897501274984,-0.08890556723440199,0.07869091304435923,-1.1298072902557963,0.25855743563912964,0.5591618328991858,AAR2
1.0403997360519908,-0.163771665647252,0.7351164005580383,-0.22278331094630782,0.8237041575375694,,AARD
255.33116174747795,0.10270875741179022,0.12716442927092608,0.8076846489277861,0.4192721429393569,0.6984647905302093,AARS
82.48236119833301,0.03783288639511368,0.11037233881792459,0.34277507209052255,0.7317676806661844,0.8886410862977083,AARS2
90.1831107759952,-0.11109615010828595,0.11131966943928101,-0.9979920949090046,0.3182831919107473,0.6208612684240797,AARSD1
73.11389878428633,-0.09993230148843088,0.16233149115117,-0.6156063791428471,0.5381543400362028,0.7756896118266969,AASDH
162.17714661187404,0.18842136696550918,0.1874618840688745,1.0051182825852862,0.31483989760705366,0.6175302001495386,AASDHPPT
4.776707633143138,-0.5491893869740591,0.8399225257108373,-0.6538571953517653,0.5132038135602699,,AASS
800.862907997737,-0.05112443349962057,0.06369007889436751,-0.8027063930068676,0.42214445695962366,0.7002282490807858,AATF
942.3007133373152,0.3026942510554543,0.20504334754344128,1.4762451680678121,0.13987808803086282,0.41564858751488576,AATK
299.5367715073518,-0.0012227707593012828,0.1621337665761075,-0.007541740287192426,0.9939826189059313,0.9977398873695373,ABAT
5.860553184189103,-1.462726913124887,0.7327226024607796,-1.9962901488400344,0.04590234970913192,,ABC7-42404400C24.1
565.5816069824757,0.021338917803669973,0.1837686209540065,0.11611839765076468,0.907558708228248,0.968852038396967,ABCA1
0.23473509291552586,-0.8551686693431437,2.4483130160453785,-0.34928894456659354,0.7268723973868214,,ABCA10
0.0,0.0,0.0,0.0,1.0,,ABCA12
36.456189246718225,1.9773572729195437,0.4523184952330072,4.3716038449874315,1.2333716351226884e-05,0.002915539520331857,ABCA13
463.84868320316014,0.13257050474078755,0.184792796797511,0.7174008242651001,0.4731268111647283,0.7362928729975882,ABCA2
77.05782595152374,-0.21763547443992376,0.14819506842387603,-1.4685743375577809,0.1419482796252932,0.4181553720497892,ABCA3
0.06314711807303021,0.13998547530475972,3.7677825582684417,0.037153278656582765,0.9703627910999978,,ABCA4
33.8419414382868,-0.18378218159477525,0.2259493311728798,-0.813377851754554,0.41600145380579734,0.6957964732293492,ABCA5
1.18101557098375,-0.4922838628723723,0.882913798810017,-0.5575672999287903,0.5771398910604183,,ABCA6
1293.437242183754,-0.3019738512849204,0.15761898763352386,-1.9158469155190399,0.05538458404744984,0.2625801670292612,ABCA7
0.13192442806151672,-0.3252030741219785,3.909854466978703,-0.083175237561534,0.9337122020636031,,ABCA8
6.931674524217159,0.16629662656191863,0.26037702308104776,0.6386762725609446,0.5230335514526672,,ABCA9
123.28369206473796,0.3245456712930131,0.24098726390289266,1.34673370715471,0.17806601218730989,0.4684208074699634,ABCB1
256.89969918235266,0.03801186476048109,0.06430677185309193,0.5911020513876634,0.5544520454631535,0.7856885298017748,ABCB10
0.6032552202342962,-0.8542735731223987,1.3147284352555897,-0.6497718846069711,0.5158395824686737,,ABCB11
17.31309073723678,0.20257798847823175,0.24626743309906102,0.8225934949212095,0.41073919913353935,0.692970590211153,ABCB4
1.46567973030351,0.32809017105324223,0.7441149233195837,0.4409133062264006,0.6592757602189623,,ABCB5
13.093048244555318,0.22369200811798734,0.3326823766258419,0.6723891129633451,0.5013360118645622,,ABCB6
202.62467090487343,-0.10049986071164525,0.05946742047519743,-1.6899986565511373,0.09102821166341937,0.33578973748324414,ABCB7
