baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,gene,direction
18.41439011961555,1.0128736696074516,0.19247602714421952,5.262336742063571,1.4223594728479593e-07,3.355856587028332e-05,AC006449.1,up_in_disease
18.41439011961555,1.0128736696074516,0.19247602714421952,5.262336742063571,1.4223594728479593e-07,3.355856587028332e-05,AC006449.2,up_in_disease
201.57131220132626,-0.587580095771392,0.0949692189282362,-6.187058316394061,6.129729361046018e-10,5.640270471566494e-07,AC241585.2,up_in_healthy
80.21933986104641,-0.6274635650429832,0.19125459649948431,-3.2807763919267425,0.001035217803889507,0.02175891109491622,ACAD11,up_in_healthy
10.191034447764784,-0.6386224272891237,0.16704760424677007,-3.822996625235777,0.00013183958470436367,0.00569624487859459,ACPT,up_in_healthy
137.91692315015786,-0.6763050304074493,0.2220930313849237,-3.0451429573911373,0.002325697347729189,0.03697179586891243,ACSS2,up_in_healthy
1181.9287037520764,0.5891743379703889,0.18036180041479005,3.266624843040075,0.001088378069037402,0.022454508525218957,ACTN4,up_in_disease
37.399094672270394,0.9171493554904259,0.23780053865037604,3.8568010009382525,0.00011488061206120455,0.005181735058241047,ADAMTS10,up_in_disease
1.0086799183463924,2.097636249622958,0.6985249175105012,3.0029512148239483,0.0026737528863218694,0.04055524369895112,ADAMTS20,up_in_disease
407.6274508911116,1.1230451793185052,0.213187901193724,5.267865451229304,1.380192051541772e-07,3.342062411121477e-05,ADGRG1,up_in_disease
25.051643943281967,0.766201126876382,0.24118575450415455,3.1768092126816874,0.0014890495851286624,0.027450829562506825,AEBP1,up_in_disease
63.4293595012633,0.8169728152277007,0.1645947407523265,4.96354143208645,6.92192665597483e-07,0.00012131830119038553,AGER,up_in_disease
354.3040130200721,0.6238417128109153,0.12950602150604665,4.81708653818686,1.4566952240600409e-06,0.00021036836639705777,AGPAT1,up_in_disease
5.528602916273989,-1.0005334041993341,0.20549690194181056,-4.868849090886293,1.1225008601737974e-06,0.00017415942474284315,AL358852.1,up_in_healthy
22.767243115430876,0.6383798720850392,0.16982066312486774,3.7591413220171197,0.00017049751560083373,0.006776815938665535,AL591806.1,up_in_disease
47.887979383447714,0.6732973916163829,0.17893835187154863,3.762733838633493,0.00016806604023959055,0.006709152578154414,ALG3,up_in_disease
77.34649965979843,-0.7356554055522198,0.12507876857856412,-5.881537001942435,4.0647405075229425e-09,2.266770289695294e-06,ALKBH7,up_in_healthy
6.413620446833849,1.0308979589137293,0.30398420034336887,3.391287960852132,0.0006956496848929006,0.017015833393369307,ANK2,up_in_disease
283.11592890159545,1.0292497385978043,0.26407203492357634,3.89760975218627,9.714679892677505e-05,0.004528735635567747,ANKHD1-EIF4EBP3,up_in_disease
84.76337254397585,0.7192079570716101,0.21087773338826493,3.4105448001350394,0.0006483323200749296,0.016293779574193035,ANKRD22,up_in_disease
5.9002406755028645,-0.7459208400630722,0.22943572935369005,-3.2511102005092978,0.0011495529034680641,0.023324390388669004,ANKRD37,up_in_healthy
2279.815685252881,0.6486251579797183,0.22328480042998666,2.9049230253498677,0.0036734342883244456,0.04963451630545872,ANPEP,up_in_disease
2.270451705446825,2.6053876353829555,0.8009028936020227,3.2530630819241373,0.0011416814902419623,0.023215872336931308,ANXA8,up_in_disease
759.9813334667363,0.7023887199778022,0.19023359252665337,3.6922433658996976,0.00022228460198355375,0.008195250182481677,APOBR,up_in_disease
5.110687451728963,1.3910052331235545,0.3760410831695619,3.699077827877471,0.00021638424597715354,0.00806097019983311,AQP7,up_in_disease
8.97123238408925,0.7078636597136603,0.23625381263861828,2.996199941951549,0.002733671269163018,0.041067552952169,ARHGAP23,up_in_disease
27.671244747658708,1.3696893990725914,0.34343924820027855,3.9881562932896046,6.658879002431041e-05,0.003538583866465798,ARHGEF10,up_in_disease
12.532536471403773,1.3419970627197457,0.30826049959710766,4.353451267592565,1.3401089573363278e-05,0.0011268180832768133,ARHGEF28,up_in_disease
457.9760349078788,0.6811978121684553,0.11216384341724314,6.0732388567895095,1.253557813380739e-09,9.071564210822542e-07,ATF7,up_in_disease
11.328106966252653,0.6125183365294069,0.19273782479360255,3.177987181215391,0.0014830130742587088,0.027429034779480423,ATP2A1,up_in_disease
382.36290249285196,0.7770493657725907,0.15003340287900735,5.179175775938594,2.2286839697134198e-07,4.9619422885002597e-05,ATXN2L,up_in_disease
77.94391134359252,1.0372799836352098,0.34628086686803844,2.995487429083106,0.002740065953641165,0.041115984705475124,BATF2,up_in_disease
12.06398465794599,0.6200833133322468,0.17564526216243362,3.5303161935492726,0.00041506330252681563,0.012135215922987453,BMPR1B,up_in_disease
53.57803368592263,0.6224159105648591,0.20252766662964808,3.073238935315633,0.0021174887121475005,0.03455659400533646,BNC2,up_in_disease
17.15642385423392,-0.6921556114198777,0.22937109601211028,-3.017623508165708,0.002547652015716801,0.03926670020539053,BOLA1,up_in_healthy
211.6750054503197,0.6421790320209089,0.1861433627681339,3.4499163573230787,0.00056076026794901,0.014749403705139967,BZRAP1,up_in_disease
62.343098564999,-0.6162794088854204,0.1242567048522442,-4.959727602774023,7.059209564582952e-07,0.00012141180711871035,C19orf52,up_in_healthy
33.83111138955901,-0.9326779554895538,0.2449699671967881,-3.807315509579668,0.00014048346906320338,0.005902550870251442,C19orf60,up_in_healthy
19.15561840634846,0.98233678461684,0.26046894914074686,3.7714160857078785,0.00016232374587080815,0.006522366583538171,C19orf84,up_in_disease
422.9425183009308,0.8129238186513087,0.10845053017503042,7.495803084957862,6.589365346624458e-14,2.425281809478598e-10,C1orf162,up_in_disease
