baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,gene,direction
603.0726234598886,1.4930185579779538,0.29039788205352884,5.1412859743334725,2.7286436136998337e-07,9.438833033723342e-05,ABHD17A,up_in_disease
4.133544492959049,1.2140244119745218,0.2815329285042189,4.312193314027667,1.6164300804992446e-05,0.001137254451551248,AC005480.1,up_in_disease
4.808439531639559,1.497504477029994,0.2849660444348273,5.255027770062893,1.4800213775496398e-07,6.092070743222043e-05,AC006386.1,up_in_disease
2.033008284021933,-0.9499418761566696,0.33552437669027785,-2.8312156795497447,0.004637144033174611,0.04387187437426281,AC009977.1,up_in_healthy
12.48997332312347,-0.705969331738655,0.21723215288604614,-3.249838121840953,0.0011547071747406094,0.018542319080650946,AC010287.1,up_in_healthy
4.808439531639559,1.497504477029994,0.2849660444348273,5.255027770062893,1.4800213775496398e-07,6.092070743222043e-05,AC012005.3,up_in_disease
3.033546683891624,2.241423597069072,0.6946095149451138,3.2268829447955136,0.0012514664528405915,0.019398529475595568,AC069368.3,up_in_disease
16.166313528189708,1.294772170305049,0.412978568791104,3.135204265187864,0.001717344861472203,0.023824497473453318,AC113404.1,up_in_disease
60.59928774924687,0.5835176030002754,0.21038511548073852,2.773568850947055,0.00554451063718406,0.048453186642002176,ACVR1C,up_in_disease
14.621568572304422,1.0360606075925045,0.28882659680599476,3.5871371232768703,0.00033432852950037893,0.008633267346538557,ADAT3,up_in_disease
1.0434723770352332,2.3125144929086785,0.7517424056745393,3.0762059921758125,0.0020965294969034778,0.026756937560788122,ADIRF,up_in_disease
2.229955943035691,-1.3313045225780897,0.44690099749751633,-2.978969682397025,0.0028921939331409733,0.032690257362745216,ADRB3,up_in_healthy
65.75120808620305,0.9651280542820496,0.2831384822291934,3.40867849076341,0.0006527836484581232,0.013011330196045424,AGRN,up_in_disease
8.456594243559966,1.6116737456195889,0.5527945960995854,2.9155019911396667,0.003551168409894134,0.036970886625957294,AL109927.1,up_in_disease
298.6970467093131,0.5981292061842243,0.20370525487762317,2.9362482894393325,0.0033220830513122066,0.035693134611700775,ALKBH7,up_in_disease
1999.8544941779649,-0.602824448173542,0.1166455130182199,-5.168003745496678,2.3660756956762165e-07,8.540504532827804e-05,ALPK1,up_in_healthy
33.73370424491058,0.7427497067151003,0.21757622702674828,3.4137447682820077,0.0006407657239837226,0.012911740389594332,AMDHD1,up_in_disease
90.71675900983483,0.6166561007913733,0.13966082465507346,4.415383500092859,1.0083107188051744e-05,0.0008329348843304038,ANKRD34A,up_in_disease
8.252913809607755,1.2318263129111906,0.30927512092484677,3.9829466697081073,6.806603382760314e-05,0.0030057670895572404,ANKS1B,up_in_disease
594.6968401007683,-0.650375873916159,0.13329733466173466,-4.879136372580906,1.0655137380034323e-06,0.00019878415849223583,ANXA9,up_in_healthy
3.0673713328844343,-0.7649821679133743,0.25942049006419454,-2.9488116675906233,0.0031899830738464975,0.03496137224960214,AP000322.53,up_in_healthy
242.57726873540784,0.6554007841667745,0.15203092751685515,4.310970108987281,1.625398785339354e-05,0.001138739300918761,AP3S1,up_in_disease
1126.5254722960567,2.110275062561799,0.2846386227242415,7.413874625883915,1.2266188544412683e-13,2.0366779459142818e-09,APOOL,up_in_disease
12.079302919395358,0.8768334180008256,0.28110145291475647,3.119277431364696,0.0018129517052637258,0.024589377683159188,AREG,up_in_disease
63.31205843080678,0.5938343792801536,0.14352467933782442,4.137507096479224,3.510995936930204e-05,0.001923979423656406,ARL6,up_in_disease
107.11172607459594,1.2109987543720613,0.39081375960716935,3.0986594627305593,0.0019439832333114034,0.025637726454251424,ATAD3B,up_in_disease
273.5496705651668,0.7678734741781628,0.20808965796792075,3.690108781362593,0.00022415817619846637,0.006599153116310879,ATP5D,up_in_disease
212.8867457539555,-1.1238703790002484,0.3476776703489799,-3.232506642926388,0.0012270928279379694,0.019221367278379288,AUP1,up_in_healthy
56.95222866076656,0.9154408488689156,0.17578243886126746,5.207806051612515,1.910864990761927e-07,7.378605187583963e-05,AXL,up_in_disease
35.824534288041825,-0.9091977250888049,0.19402997832132177,-4.6858621175699735,2.7878390883028614e-06,0.00035392300660127754,BEAN1,up_in_healthy
79.61740755191714,0.8481637691258901,0.25409117499586753,3.338029229624698,0.0008437487302964622,0.01528240230515453,BOLA1,up_in_disease
50.835388584065804,0.9669877415180916,0.32299536398705714,2.99381306772205,0.002755146892475317,0.03166763329848349,BOLA2,up_in_disease
133.86805884497699,0.9216611892903865,0.2992542930490976,3.0798595398568693,0.0020709823805294377,0.026573872833315904,BOLA2B,up_in_disease
1060.363485212448,-0.8213639230883617,0.18866672052650976,-4.353517784144401,1.3397022185512735e-05,0.0009930542695011314,BRI3,up_in_healthy
664.6894374657919,0.6945322273987569,0.19162352144110345,3.6244622903051344,0.0002895632636691794,0.007946956082583561,BTBD2,up_in_disease
2.1171669577286885,2.7526738381424924,0.9456054444304746,2.911017332181702,0.0036025403301392003,0.03726889697297899,C11orf71,up_in_disease
1192.1275505744125,0.6712723737396183,0.16315752222538277,4.11425942600633,3.884244088665868e-05,0.002067115027186156,C12orf57,up_in_disease
192.45256523723108,0.6189456367745333,0.2160959224881247,2.8642171015908304,0.004180413835394436,0.04109405770828088,C16orf13,up_in_disease
5.2939218404097,0.6791544770121181,0.23781634146648956,2.8557939829707495,0.004292935912328473,0.04163616654423222,C16orf71,up_in_disease
259.1919857679376,0.7586728678670981,0.24288131767430557,3.1236361657278597,0.001786311906101804,0.024466607207221554,C19orf24,up_in_disease
